course_code,sdg_number,sdg_name,addressed,justification,timestamp
HDAT9510,4,Quality Education,Focus,Keywords detected: training,2024-11-25 15:31:25.293074
HDAT9510,7,Affordable and Clean Energy,Supported,Keywords detected: reprocessing,2024-11-25 15:31:25.293074
CHEM1829,8,Decent Work and Economic Growth,Supported,Keywords detected: firm,2024-11-25 15:31:25.923595
CHEM1829,11,Sustainable Cities and Communities,Supported,Keywords detected: utilisation,2024-11-25 15:31:25.923595
CHEM1829,12,Responsible Consumption and Production,Supported,Keywords detected: utilisation,2024-11-25 15:31:25.923595
CVEN3203,11,Sustainable Cities and Communities,Supported,Keywords detected: foundation,2024-11-25 15:31:26.474271
CVEN3203,14,Life Below Water,Supported,Keywords detected: deep,2024-11-25 15:31:26.474271
DDES2160,11,Sustainable Cities and Communities,Focus,Keywords detected: creativ,2024-11-25 15:31:26.965315
DDES2160,4,Quality Education,Supported,Keywords detected: creative,2024-11-25 15:31:26.965315
DDES2160,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: production, production method",2024-11-25 15:31:26.965315
PSYC7402,6,Clean Water and Sanitation,Supported,Keywords detected: pond,2024-11-25 15:31:27.511590
LAWS8076,8,Decent Work and Economic Growth,Supported,"Keywords detected: justice, justice, justice",2024-11-25 15:31:28.449747
LAWS8076,10,Reduced Inequalities,Supported,"Keywords detected: just, just, just",2024-11-25 15:31:28.449747
PHRM1011,3,Good Health and Well-being,Supported,"Keywords detected: medicine, health care, health care, health system, medicine",2024-11-25 15:31:29.275749
PHRM1011,16,"Peace, Justice and Strong Institutions",Supported,"Keywords detected: harm, harm, harm, harm, harm",2024-11-25 15:31:29.275749
PHRM1011,13,Climate Action,Focus,Keywords detected: university,2024-11-25 15:31:29.275749
PHRM1011,4,Quality Education,Supported,Keywords detected: literacy,2024-11-25 15:31:29.275749
PHRM1011,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: inquiry, inquiry, inquiry, inquiry",2024-11-25 15:31:29.275749
PHRM1011,11,Sustainable Cities and Communities,Supported,"Keywords detected: education, education, education, education",2024-11-25 15:31:29.275749
CVEN4051,9,Industry Innovation and Infrastructure,Supported,Keywords detected: industry,2024-11-25 15:31:29.596577
ARTS2450,10,Reduced Inequalities,Focus,"Keywords detected: culture, cult",2024-11-25 15:31:29.889181
ARTS2450,4,Quality Education,Supported,Keywords detected: cultur,2024-11-25 15:31:29.889181
MUSC1806,11,Sustainable Cities and Communities,Focus,Keywords detected: creativ,2024-11-25 15:31:30.267992
MUSC1806,4,Quality Education,Supported,Keywords detected: creative,2024-11-25 15:31:30.267992
MUSC1806,9,Industry Innovation and Infrastructure,Supported,Keywords detected: industry,2024-11-25 15:31:30.267992
LAWS3198,6,Clean Water and Sanitation,Supported,Keywords detected: fen,2024-11-25 15:31:30.559348
LAWS3198,16,"Peace, Justice and Strong Institutions",Supported,Keywords detected: obligation,2024-11-25 15:31:30.559348
COMP9024,7,Affordable and Clean Energy,Focus,Keywords detected: efficiency,2024-11-25 15:31:30.892368
COMP9024,11,Sustainable Cities and Communities,Focus,Keywords detected: efficiency,2024-11-25 15:31:30.892368
COMP9024,13,Climate Action,Focus,Keywords detected: efficiency,2024-11-25 15:31:30.892368
COMP9024,4,Quality Education,Focus,"Keywords detected: science, science",2024-11-25 15:31:30.892368
LING5029,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: production, production",2024-11-25 15:31:31.244610
